Match.Number,Score,Wickets.Lost,Overs,RPO,Target,Inns,Result,Opposition,Ground,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns,Average.wicket,Avg.NB.bat,Top3.NB,Top3.runs,Bat.Catches,Bat.fail,bat.BF20,Bat.120,Top3.BF,Dism.caught,Mid.fail,clean.bowled,bowl.maxw,bowl.low_econ4,bowl.comp4,bowl.nowkt,bowl.str.exp,bowl.34.wkt,bowl.high_econ
30,120,9,20,6,NA,1,0,v England,Kolkata,29/10/11,121,4,18.4,6.48,121,2,13.3333333333,6.4285714286,1.3333333333,16,3,3,2,1,22,4,1,4,1,2,2,3,34,1,2
31,140,6,20,7,172,2,0,v Australia,Sydney,01/02/12,171,4,20,8.55,NA,1,23.3333333333,9,8,46,2,3,2,2,38,4,2,2,1,0,2,3,34,2,2
32,135,2,19.4,6.86,132,2,1,v Australia,Melbourne,03/02/12,131,10,19.4,6.66,NA,1,67.5,20.25,22.6666666667,110,3,0,2,2,100,2,0,0,2,1,2,3,25,1,1
33,71,0,7.5,9.06,83,2,0,v South Africa,Johannesburg,30/03/12,219,4,20,10.95,NA,1,120,14.5,14.5,67,0,0,1,1,47,0,0,0,2,0,3,5,44,1,6
34,155,3,20,7.75,NA,1,1,v Sri Lanka,Pallekele,07/08/12,116,10,18,6.44,156,2,51.6666666667,11.8,11.6666666667,95,5,1,3,2,81,2,0,1,4,1,2,2,27,4,0
35,166,4,20,8.3,168,2,0,v New Zealand,Chennai,11/09/12,167,5,20,8.35,NA,1,41.5,12.6666666667,13.3333333333,100,1,2,4,4,69,3,1,1,3,0,3,3,31,1,1
36,159,5,20,7.95,NA,1,1,v Afghanistan,Colombo (RPS),19/09/12,136,10,19.3,6.97,160,2,31.8,9,10.6666666667,68,5,2,3,3,57,3,1,2,3,2,3,2,32,3,2
37,170,4,20,8.5,NA,1,1,v England,Colombo (RPS),23/09/12,80,10,14.4,5.45,171,2,42.5,13.3333333333,15,93,3,3,3,2,78,3,2,1,4,2,2,2,17,5,2
38,140,7,20,7,NA,1,0,v Australia,Colombo (RPS),28/09/12,141,1,14.5,9.5,141,2,20,7.2857142857,9.6666666667,63,0,2,2,2,55,5,2,1,1,0,0,7,32,0,5
39,129,2,17,7.58,129,2,1,v Pakistan,Colombo (RPS),30/09/12,128,10,19.4,6.5,NA,1,64.5,14.5,15.6666666667,107,0,1,2,2,87,2,0,0,3,1,1,1,30,5,1
