Match.Number,Bowler,Overs,Balls,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Score,Wickets.Lost,Team.Overs,RPO,Target,Bowl.Inns,Result,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Dis,Ct,St,Ct.Wk,Ct.Fi,field.inns,Total.Catches
48,RA Jadeja,4,24,0,30,0,7.5,1,v Bangladesh,Dhaka,141,2,18.3,7.62,139,2,1,28/03/14,138,7,20,6.9,NA,1,1,0,0,1,1,2
48,SK Raina,2,12,0,11,0,5.5,1,v Bangladesh,Dhaka,141,2,18.3,7.62,139,2,1,28/03/14,138,7,20,6.9,NA,1,1,0,0,1,1,2
49,A Mishra,3,18,0,13,2,4.33,2,v Australia,Dhaka,159,7,20,7.95,NA,1,1,30/03/14,86,10,16.2,5.26,160,0,0,0,0,0,2,2
49,B Kumar,3,18,0,7,1,2.33,2,v Australia,Dhaka,159,7,20,7.95,NA,1,1,30/03/14,86,10,16.2,5.26,160,0,0,0,0,0,2,2
49,MM Sharma,2,12,0,11,1,5.5,2,v Australia,Dhaka,159,7,20,7.95,NA,1,1,30/03/14,86,10,16.2,5.26,160,0,0,0,0,0,2,2
49,R Ashwin,3.2,20,0,11,4,3.3,2,v Australia,Dhaka,159,7,20,7.95,NA,1,1,30/03/14,86,10,16.2,5.26,160,0,0,0,0,0,2,2
49,RA Jadeja,4,24,0,25,1,6.25,2,v Australia,Dhaka,159,7,20,7.95,NA,1,1,30/03/14,86,10,16.2,5.26,160,2,2,0,0,2,2,2
49,SK Raina,1,6,0,16,0,16,2,v Australia,Dhaka,159,7,20,7.95,NA,1,1,30/03/14,86,10,16.2,5.26,160,0,0,0,0,0,2,2
50,A Mishra,3,18,0,36,0,12,1,v South Africa,Dhaka,176,4,19.1,9.18,173,2,1,04/04/14,172,4,20,8.6,NA,0,0,0,0,0,1,0
50,B Kumar,4,24,0,33,1,8.25,1,v South Africa,Dhaka,176,4,19.1,9.18,173,2,1,04/04/14,172,4,20,8.6,NA,0,0,0,0,0,1,0
50,MM Sharma,3,18,0,34,0,11.33,1,v South Africa,Dhaka,176,4,19.1,9.18,173,2,1,04/04/14,172,4,20,8.6,NA,0,0,0,0,0,1,0
50,R Ashwin,4,24,0,22,3,5.5,1,v South Africa,Dhaka,176,4,19.1,9.18,173,2,1,04/04/14,172,4,20,8.6,NA,0,0,0,0,0,1,0
50,RA Jadeja,2,12,0,8,0,4,1,v South Africa,Dhaka,176,4,19.1,9.18,173,2,1,04/04/14,172,4,20,8.6,NA,0,0,0,0,0,1,0
50,SK Raina,4,24,0,35,0,8.75,1,v South Africa,Dhaka,176,4,19.1,9.18,173,2,1,04/04/14,172,4,20,8.6,NA,0,0,0,0,0,1,0
51,A Mishra,4,24,0,32,1,8,2,v Sri Lanka,Dhaka,130,4,20,6.5,NA,1,0,06/04/14,134,4,17.5,7.51,131,0,0,0,0,0,2,2
51,B Kumar,3,18,0,18,0,6,2,v Sri Lanka,Dhaka,130,4,20,6.5,NA,1,0,06/04/14,134,4,17.5,7.51,131,0,0,0,0,0,2,2
51,MM Sharma,2,12,0,18,1,9,2,v Sri Lanka,Dhaka,130,4,20,6.5,NA,1,0,06/04/14,134,4,17.5,7.51,131,0,0,0,0,0,2,2
51,R Ashwin,3.5,23,0,29,1,7.56,2,v Sri Lanka,Dhaka,130,4,20,6.5,NA,1,0,06/04/14,134,4,17.5,7.51,131,1,1,0,0,1,2,2
51,RA Jadeja,1,6,0,11,0,11,2,v Sri Lanka,Dhaka,130,4,20,6.5,NA,1,0,06/04/14,134,4,17.5,7.51,131,1,1,0,0,1,2,2
51,SK Raina,4,24,0,24,1,6,2,v Sri Lanka,Dhaka,130,4,20,6.5,NA,1,0,06/04/14,134,4,17.5,7.51,131,0,0,0,0,0,2,2
52,KV Sharma,4,24,0,28,1,7,1,v England,Birmingham,177,5,20,8.85,181,2,0,07/09/14,180,7,20,9,NA,0,0,0,0,0,1,0
52,MM Sharma,4,24,0,39,1,9.75,1,v England,Birmingham,177,5,20,8.85,181,2,0,07/09/14,180,7,20,9,NA,0,0,0,0,0,1,0
52,Mohammed Shami,4,24,0,38,3,9.5,1,v England,Birmingham,177,5,20,8.85,181,2,0,07/09/14,180,7,20,9,NA,0,0,0,0,0,1,0
52,R Ashwin,4,24,0,37,0,9.25,1,v England,Birmingham,177,5,20,8.85,181,2,0,07/09/14,180,7,20,9,NA,0,0,0,0,0,1,0
52,RA Jadeja,4,24,0,35,1,8.75,1,v England,Birmingham,177,5,20,8.85,181,2,0,07/09/14,180,7,20,9,NA,0,0,0,0,0,1,0
53,AR Patel,4,24,0,17,3,4.25,2,v Zimbabwe,Harare,178,5,20,8.9,NA,1,1,17/07/15,124,7,20,6.2,179,0,0,0,0,0,2,0
53,B Kumar,4,24,0,22,0,5.5,2,v Zimbabwe,Harare,178,5,20,8.9,NA,1,1,17/07/15,124,7,20,6.2,179,0,0,0,0,0,2,0
53,Harbhajan Singh,4,24,0,29,2,7.25,2,v Zimbabwe,Harare,178,5,20,8.9,NA,1,1,17/07/15,124,7,20,6.2,179,0,0,0,0,0,2,0
53,MM Sharma,3,18,0,8,1,2.66,2,v Zimbabwe,Harare,178,5,20,8.9,NA,1,1,17/07/15,124,7,20,6.2,179,0,0,0,0,0,2,0
53,Sandeep Sharma,3,18,0,34,0,11.33,2,v Zimbabwe,Harare,178,5,20,8.9,NA,1,1,17/07/15,124,7,20,6.2,179,0,0,0,0,0,2,0
53,STR Binny,2,12,0,8,0,4,2,v Zimbabwe,Harare,178,5,20,8.9,NA,1,1,17/07/15,124,7,20,6.2,179,0,0,0,0,0,2,0
54,AR Patel,4,24,0,23,1,5.75,1,v Zimbabwe,Harare,135,9,20,6.75,146,2,0,19/07/15,145,7,20,7.25,NA,2,2,0,0,2,1,2
54,B Kumar,4,24,0,26,2,6.5,1,v Zimbabwe,Harare,135,9,20,6.75,146,2,0,19/07/15,145,7,20,7.25,NA,0,0,0,0,0,1,2
54,M Vijay,2,12,0,9,0,4.5,1,v Zimbabwe,Harare,135,9,20,6.75,146,2,0,19/07/15,145,7,20,7.25,NA,0,0,0,0,0,1,2
54,MM Sharma,4,24,0,28,2,7,1,v Zimbabwe,Harare,135,9,20,6.75,146,2,0,19/07/15,145,7,20,7.25,NA,0,0,0,0,0,1,2
54,Sandeep Sharma,4,24,0,39,1,9.75,1,v Zimbabwe,Harare,135,9,20,6.75,146,2,0,19/07/15,145,7,20,7.25,NA,0,0,0,0,0,1,2
54,STR Binny,2,12,0,14,1,7,1,v Zimbabwe,Harare,135,9,20,6.75,146,2,0,19/07/15,145,7,20,7.25,NA,0,0,0,0,0,1,2
55,AR Patel,4,24,0,45,0,11.25,2,v South Africa,Dharamsala,199,5,20,9.95,NA,1,0,02/10/15,200,3,19.4,10.16,200,0,0,0,0,0,2,0
55,B Kumar,4,24,0,40,0,10,2,v South Africa,Dharamsala,199,5,20,9.95,NA,1,0,02/10/15,200,3,19.4,10.16,200,0,0,0,0,0,2,0
55,MM Sharma,4,24,0,40,0,10,2,v South Africa,Dharamsala,199,5,20,9.95,NA,1,0,02/10/15,200,3,19.4,10.16,200,0,0,0,0,0,2,0
55,R Ashwin,4,24,0,26,1,6.5,2,v South Africa,Dharamsala,199,5,20,9.95,NA,1,0,02/10/15,200,3,19.4,10.16,200,0,0,0,0,0,2,0
55,S Aravind,3.4,22,0,44,1,12,2,v South Africa,Dharamsala,199,5,20,9.95,NA,1,0,02/10/15,200,3,19.4,10.16,200,0,0,0,0,0,2,0
56,AR Patel,3,18,0,17,1,5.66,2,v South Africa,Cuttack,92,10,17.2,5.3,NA,1,0,05/10/15,96,4,17.1,5.59,93,0,0,0,0,0,2,1
56,B Kumar,2,12,0,13,0,6.5,2,v South Africa,Cuttack,92,10,17.2,5.3,NA,1,0,05/10/15,96,4,17.1,5.59,93,0,0,0,0,0,2,1
56,Harbhajan Singh,4,24,0,20,0,5,2,v South Africa,Cuttack,92,10,17.2,5.3,NA,1,0,05/10/15,96,4,17.1,5.59,93,0,0,0,0,0,2,1
56,MM Sharma,1,6,0,7,0,7,2,v South Africa,Cuttack,92,10,17.2,5.3,NA,1,0,05/10/15,96,4,17.1,5.59,93,1,1,0,0,1,2,1
56,R Ashwin,4,24,0,24,3,6,2,v South Africa,Cuttack,92,10,17.2,5.3,NA,1,0,05/10/15,96,4,17.1,5.59,93,0,0,0,0,0,2,1
56,SK Raina,3.1,19,0,12,0,3.78,2,v South Africa,Cuttack,92,10,17.2,5.3,NA,1,0,05/10/15,96,4,17.1,5.59,93,0,0,0,0,0,2,1
57,A Nehra,4,24,0,30,1,7.5,2,v Australia,Adelaide,188,3,20,9.4,NA,1,1,26/01/16,151,10,19.3,7.74,189,1,1,0,0,1,2,4
57,HH Pandya,3,18,0,37,2,12.33,2,v Australia,Adelaide,188,3,20,9.4,NA,1,1,26/01/16,151,10,19.3,7.74,189,1,1,0,0,1,2,4
57,JJ Bumrah,3.3,21,0,23,3,6.57,2,v Australia,Adelaide,188,3,20,9.4,NA,1,1,26/01/16,151,10,19.3,7.74,189,0,0,0,0,0,2,4
57,R Ashwin,4,24,0,28,2,7,2,v Australia,Adelaide,188,3,20,9.4,NA,1,1,26/01/16,151,10,19.3,7.74,189,0,0,0,0,0,2,4
57,RA Jadeja,4,24,0,21,2,5.25,2,v Australia,Adelaide,188,3,20,9.4,NA,1,1,26/01/16,151,10,19.3,7.74,189,1,1,0,0,1,2,4
57,Yuvraj Singh,1,6,0,10,0,10,2,v Australia,Adelaide,188,3,20,9.4,NA,1,1,26/01/16,151,10,19.3,7.74,189,1,1,0,0,1,2,4
58,A Nehra,4,24,0,34,0,8.5,2,v Australia,Melbourne,184,3,20,9.2,NA,1,1,29/01/16,157,8,20,7.85,185,0,0,0,0,0,2,2
58,HH Pandya,2,12,0,17,1,8.5,2,v Australia,Melbourne,184,3,20,9.2,NA,1,1,29/01/16,157,8,20,7.85,185,1,1,0,0,1,2,2
58,JJ Bumrah,4,24,0,37,2,9.25,2,v Australia,Melbourne,184,3,20,9.2,NA,1,1,29/01/16,157,8,20,7.85,185,0,0,0,0,0,2,2
58,R Ashwin,4,24,0,27,1,6.75,2,v Australia,Melbourne,184,3,20,9.2,NA,1,1,29/01/16,157,8,20,7.85,185,0,0,0,0,0,2,2
58,RA Jadeja,4,24,0,32,2,8,2,v Australia,Melbourne,184,3,20,9.2,NA,1,1,29/01/16,157,8,20,7.85,185,1,1,0,0,1,2,2
58,Yuvraj Singh,2,12,0,7,1,3.5,2,v Australia,Melbourne,184,3,20,9.2,NA,1,1,29/01/16,157,8,20,7.85,185,0,0,0,0,0,2,2
59,A Nehra,4,24,0,32,1,8,1,v Australia,Sydney,200,3,20,10,198,2,1,31/01/16,197,5,20,9.85,NA,0,0,0,0,0,1,1
59,HH Pandya,2,12,0,24,0,12,1,v Australia,Sydney,200,3,20,10,198,2,1,31/01/16,197,5,20,9.85,NA,0,0,0,0,0,1,1
59,JJ Bumrah,4,24,0,43,1,10.75,1,v Australia,Sydney,200,3,20,10,198,2,1,31/01/16,197,5,20,9.85,NA,0,0,0,0,0,1,1
59,R Ashwin,4,24,0,36,1,9,1,v Australia,Sydney,200,3,20,10,198,2,1,31/01/16,197,5,20,9.85,NA,0,0,0,0,0,1,1
59,RA Jadeja,4,24,0,41,1,10.25,1,v Australia,Sydney,200,3,20,10,198,2,1,31/01/16,197,5,20,9.85,NA,1,1,0,0,1,1,1
59,Yuvraj Singh,2,12,0,19,1,9.5,1,v Australia,Sydney,200,3,20,10,198,2,1,31/01/16,197,5,20,9.85,NA,0,0,0,0,0,1,1
60,A Nehra,3,18,0,21,2,7,2,v Sri Lanka,Pune,101,10,18.5,5.36,NA,1,0,09/02/16,105,5,18,5.83,102,0,0,0,0,0,2,1
60,HH Pandya,3,18,0,18,0,6,2,v Sri Lanka,Pune,101,10,18.5,5.36,NA,1,0,09/02/16,105,5,18,5.83,102,0,0,0,0,0,2,1
60,JJ Bumrah,4,24,1,19,0,4.75,2,v Sri Lanka,Pune,101,10,18.5,5.36,NA,1,0,09/02/16,105,5,18,5.83,102,0,0,0,0,0,2,1
60,R Ashwin,3,18,0,13,2,4.33,2,v Sri Lanka,Pune,101,10,18.5,5.36,NA,1,0,09/02/16,105,5,18,5.83,102,0,0,0,0,0,2,1
60,RA Jadeja,3,18,0,18,0,6,2,v Sri Lanka,Pune,101,10,18.5,5.36,NA,1,0,09/02/16,105,5,18,5.83,102,0,0,0,0,0,2,1
60,SK Raina,2,12,0,13,1,6.5,2,v Sri Lanka,Pune,101,10,18.5,5.36,NA,1,0,09/02/16,105,5,18,5.83,102,1,1,0,0,1,2,1
61,A Nehra,3,18,0,26,2,8.66,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,0,0,0,0,0,2,3
61,HH Pandya,1,6,0,5,0,5,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,1,1,0,0,1,2,3
61,JJ Bumrah,3,18,0,17,2,5.66,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,0,0,0,0,0,2,3
61,R Ashwin,4,24,0,14,3,3.5,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,0,0,0,0,0,2,3
61,RA Jadeja,4,24,0,24,2,6,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,0,0,0,0,0,2,3
61,SK Raina,2,12,0,22,0,11,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,1,1,0,0,1,2,3
61,Yuvraj Singh,3,18,0,19,0,6.33,2,v Sri Lanka,Ranchi,196,6,20,9.8,NA,1,1,12/02/16,127,9,20,6.35,197,1,1,0,0,1,2,3
62,A Nehra,2,12,0,17,1,8.5,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,0,0,0,0,0,1,3
62,HH Pandya,2,12,0,13,0,6.5,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,1,1,0,0,1,1,3
62,JJ Bumrah,3,18,0,10,1,3.33,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,0,0,0,0,0,1,3
62,R Ashwin,4,24,1,8,4,2,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,0,0,0,0,0,1,3
62,RA Jadeja,4,24,1,11,1,2.75,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,1,1,0,0,1,1,3
62,SK Raina,2,12,0,6,2,3,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,1,1,0,0,1,1,3
62,Yuvraj Singh,1,6,0,15,0,15,1,v Sri Lanka,Visakhapatnam,84,1,13.5,6.07,83,2,1,14/02/16,82,10,18,4.55,NA,0,0,0,0,0,1,3
63,A Nehra,4,24,0,23,3,5.75,2,v Bangladesh,Dhaka,166,6,20,8.3,NA,1,1,24/02/16,121,7,20,6.05,167,0,0,0,0,0,2,1
63,HH Pandya,4,24,0,23,1,5.75,2,v Bangladesh,Dhaka,166,6,20,8.3,NA,1,1,24/02/16,121,7,20,6.05,167,0,0,0,0,0,2,1
63,JJ Bumrah,4,24,0,23,1,5.75,2,v Bangladesh,Dhaka,166,6,20,8.3,NA,1,1,24/02/16,121,7,20,6.05,167,0,0,0,0,0,2,1
63,R Ashwin,4,24,0,23,1,5.75,2,v Bangladesh,Dhaka,166,6,20,8.3,NA,1,1,24/02/16,121,7,20,6.05,167,0,0,0,0,0,2,1
63,RA Jadeja,4,24,0,25,0,6.25,2,v Bangladesh,Dhaka,166,6,20,8.3,NA,1,1,24/02/16,121,7,20,6.05,167,1,1,0,0,1,2,1
64,A Nehra,3,18,0,20,1,6.66,1,v Pakistan,Dhaka,85,5,15.3,5.48,84,2,1,27/02/16,83,10,17.3,4.74,NA,0,0,0,0,0,1,0
64,HH Pandya,3.3,21,0,8,3,2.28,1,v Pakistan,Dhaka,85,5,15.3,5.48,84,2,1,27/02/16,83,10,17.3,4.74,NA,0,0,0,0,0,1,0
64,JJ Bumrah,3,18,2,8,1,2.66,1,v Pakistan,Dhaka,85,5,15.3,5.48,84,2,1,27/02/16,83,10,17.3,4.74,NA,0,0,0,0,0,1,0
64,R Ashwin,3,18,0,21,0,7,1,v Pakistan,Dhaka,85,5,15.3,5.48,84,2,1,27/02/16,83,10,17.3,4.74,NA,0,0,0,0,0,1,0
64,RA Jadeja,3,18,0,11,2,3.66,1,v Pakistan,Dhaka,85,5,15.3,5.48,84,2,1,27/02/16,83,10,17.3,4.74,NA,0,0,0,0,0,1,0
64,Yuvraj Singh,2,12,0,11,1,5.5,1,v Pakistan,Dhaka,85,5,15.3,5.48,84,2,1,27/02/16,83,10,17.3,4.74,NA,0,0,0,0,0,1,0
65,A Nehra,4,24,0,23,1,5.75,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,0,0,0,0,0,1,3
65,HH Pandya,4,24,0,26,2,6.5,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,1,1,0,0,1,1,3
65,JJ Bumrah,4,24,0,27,2,6.75,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,0,0,0,0,0,1,3
65,R Ashwin,4,24,0,26,2,6.5,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,1,1,0,0,1,1,3
65,RA Jadeja,2,12,0,19,0,9.5,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,0,0,0,0,0,1,3
65,SK Raina,1,6,0,9,0,9,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,1,1,0,0,1,1,3
65,Yuvraj Singh,1,6,0,3,0,3,1,v Sri Lanka,Dhaka,142,5,19.2,7.34,139,2,1,01/03/16,138,9,20,6.9,NA,0,0,0,0,0,1,3
66,B Kumar,4,24,2,8,2,2,1,v U.A.E.,Dhaka,82,1,10.1,8.06,82,2,1,03/03/16,81,9,20,4.05,NA,1,1,0,0,1,1,5
66,Harbhajan Singh,4,24,1,11,1,2.75,1,v U.A.E.,Dhaka,82,1,10.1,8.06,82,2,1,03/03/16,81,9,20,4.05,NA,1,1,0,0,1,1,5
66,HH Pandya,3,18,1,11,1,3.66,1,v U.A.E.,Dhaka,82,1,10.1,8.06,82,2,1,03/03/16,81,9,20,4.05,NA,1,1,0,0,1,1,5
66,JJ Bumrah,4,24,0,23,1,5.75,1,v U.A.E.,Dhaka,82,1,10.1,8.06,82,2,1,03/03/16,81,9,20,4.05,NA,0,0,0,0,0,1,5
66,P Negi,3,18,0,16,1,5.33,1,v U.A.E.,Dhaka,82,1,10.1,8.06,82,2,1,03/03/16,81,9,20,4.05,NA,2,2,0,0,2,1,5
66,Yuvraj Singh,2,12,0,10,1,5,1,v U.A.E.,Dhaka,82,1,10.1,8.06,82,2,1,03/03/16,81,9,20,4.05,NA,0,0,0,0,0,1,5
67,A Nehra,3,18,0,33,1,11,1,v Bangladesh,Dhaka,122,2,13.5,8.81,121,2,1,06/03/16,120,5,15,8,NA,0,0,0,0,0,1,2
67,HH Pandya,3,18,0,35,0,11.66,1,v Bangladesh,Dhaka,122,2,13.5,8.81,121,2,1,06/03/16,120,5,15,8,NA,1,1,0,0,1,1,2
67,JJ Bumrah,3,18,0,13,1,4.33,1,v Bangladesh,Dhaka,122,2,13.5,8.81,121,2,1,06/03/16,120,5,15,8,NA,1,1,0,0,1,1,2
67,R Ashwin,3,18,0,14,1,4.66,1,v Bangladesh,Dhaka,122,2,13.5,8.81,121,2,1,06/03/16,120,5,15,8,NA,0,0,0,0,0,1,2
67,RA Jadeja,3,18,0,25,1,8.33,1,v Bangladesh,Dhaka,122,2,13.5,8.81,121,2,1,06/03/16,120,5,15,8,NA,0,0,0,0,0,1,2
68,A Nehra,3,18,1,20,1,6.66,1,v New Zealand,Nagpur,79,10,18.1,4.34,127,2,0,15/03/16,126,7,20,6.3,NA,0,0,0,0,0,1,1
68,HH Pandya,1,6,0,10,0,10,1,v New Zealand,Nagpur,79,10,18.1,4.34,127,2,0,15/03/16,126,7,20,6.3,NA,1,1,0,0,1,1,1
68,JJ Bumrah,4,24,0,15,1,3.75,1,v New Zealand,Nagpur,79,10,18.1,4.34,127,2,0,15/03/16,126,7,20,6.3,NA,0,0,0,0,0,1,1
68,R Ashwin,4,24,0,32,1,8,1,v New Zealand,Nagpur,79,10,18.1,4.34,127,2,0,15/03/16,126,7,20,6.3,NA,0,0,0,0,0,1,1
68,RA Jadeja,4,24,0,26,1,6.5,1,v New Zealand,Nagpur,79,10,18.1,4.34,127,2,0,15/03/16,126,7,20,6.3,NA,0,0,0,0,0,1,1
68,SK Raina,4,24,0,16,1,4,1,v New Zealand,Nagpur,79,10,18.1,4.34,127,2,0,15/03/16,126,7,20,6.3,NA,0,0,0,0,0,1,1
69,A Nehra,4,24,0,20,1,5,1,v Pakistan,Kolkata,119,4,15.5,7.51,119,2,1,19/03/16,118,5,18,6.55,NA,0,0,0,0,0,1,3
69,HH Pandya,2,12,0,25,1,12.5,1,v Pakistan,Kolkata,119,4,15.5,7.51,119,2,1,19/03/16,118,5,18,6.55,NA,1,1,0,0,1,1,3
69,JJ Bumrah,4,24,0,32,1,8,1,v Pakistan,Kolkata,119,4,15.5,7.51,119,2,1,19/03/16,118,5,18,6.55,NA,0,0,0,0,0,1,3
69,R Ashwin,3,18,0,12,0,4,1,v Pakistan,Kolkata,119,4,15.5,7.51,119,2,1,19/03/16,118,5,18,6.55,NA,1,1,0,0,1,1,3
69,RA Jadeja,4,24,0,20,1,5,1,v Pakistan,Kolkata,119,4,15.5,7.51,119,2,1,19/03/16,118,5,18,6.55,NA,1,1,0,0,1,1,3
69,SK Raina,1,6,0,4,1,4,1,v Pakistan,Kolkata,119,4,15.5,7.51,119,2,1,19/03/16,118,5,18,6.55,NA,0,0,0,0,0,1,3
70,A Nehra,4,24,0,29,1,7.25,2,v Bangladesh,Bangalore,146,7,20,7.3,NA,1,1,23/03/16,145,9,20,7.25,147,0,0,0,0,0,2,3
70,HH Pandya,3,18,0,29,2,9.66,2,v Bangladesh,Bangalore,146,7,20,7.3,NA,1,1,23/03/16,145,9,20,7.25,147,1,1,0,0,1,2,3
70,JJ Bumrah,4,24,0,32,0,8,2,v Bangladesh,Bangalore,146,7,20,7.3,NA,1,1,23/03/16,145,9,20,7.25,147,0,0,0,0,0,2,3
70,R Ashwin,4,24,0,20,2,5,2,v Bangladesh,Bangalore,146,7,20,7.3,NA,1,1,23/03/16,145,9,20,7.25,147,0,0,0,0,0,2,3
70,RA Jadeja,4,24,0,22,2,5.5,2,v Bangladesh,Bangalore,146,7,20,7.3,NA,1,1,23/03/16,145,9,20,7.25,147,1,1,0,0,1,2,3
70,SK Raina,1,6,0,9,1,9,2,v Bangladesh,Bangalore,146,7,20,7.3,NA,1,1,23/03/16,145,9,20,7.25,147,1,1,0,0,1,2,3
71,A Nehra,4,24,0,20,1,5,1,v Australia,Mohali,161,4,19.1,8.4,161,2,1,27/03/16,160,6,20,8,NA,0,0,0,0,0,1,0
71,HH Pandya,4,24,0,36,2,9,1,v Australia,Mohali,161,4,19.1,8.4,161,2,1,27/03/16,160,6,20,8,NA,0,0,0,0,0,1,0
71,JJ Bumrah,4,24,0,32,1,8,1,v Australia,Mohali,161,4,19.1,8.4,161,2,1,27/03/16,160,6,20,8,NA,0,0,0,0,0,1,0
71,R Ashwin,2,12,0,31,1,15.5,1,v Australia,Mohali,161,4,19.1,8.4,161,2,1,27/03/16,160,6,20,8,NA,0,0,0,0,0,1,0
71,RA Jadeja,3,18,0,20,0,6.66,1,v Australia,Mohali,161,4,19.1,8.4,161,2,1,27/03/16,160,6,20,8,NA,0,0,0,0,0,1,0
71,Yuvraj Singh,3,18,0,19,1,6.33,1,v Australia,Mohali,161,4,19.1,8.4,161,2,1,27/03/16,160,6,20,8,NA,0,0,0,0,0,1,0
72,A Nehra,4,24,0,24,1,6,2,v West Indies,Mumbai,192,2,20,9.6,NA,1,0,31/03/16,196,3,19.4,9.96,193,0,0,0,0,0,2,0
72,HH Pandya,4,24,0,43,0,10.75,2,v West Indies,Mumbai,192,2,20,9.6,NA,1,0,31/03/16,196,3,19.4,9.96,193,0,0,0,0,0,2,0
72,JJ Bumrah,4,24,0,42,1,10.5,2,v West Indies,Mumbai,192,2,20,9.6,NA,1,0,31/03/16,196,3,19.4,9.96,193,0,0,0,0,0,2,0
72,R Ashwin,2,12,0,20,0,10,2,v West Indies,Mumbai,192,2,20,9.6,NA,1,0,31/03/16,196,3,19.4,9.96,193,0,0,0,0,0,2,0
72,RA Jadeja,4,24,0,48,0,12,2,v West Indies,Mumbai,192,2,20,9.6,NA,1,0,31/03/16,196,3,19.4,9.96,193,0,0,0,0,0,2,0
72,V Kohli,1.4,10,0,15,1,9,2,v West Indies,Mumbai,192,2,20,9.6,NA,1,0,31/03/16,196,3,19.4,9.96,193,0,0,0,0,0,2,0
