Match.Number,Score,Wickets.Lost,Overs,RPO,Target,Inns,Result,Opposition,Ground,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns
60,101,10,18.5,5.36,NA,1,0,v Sri Lanka,Pune,09/02/16,105,5,18,5.83,102,2
61,196,6,20,9.8,NA,1,1,v Sri Lanka,Ranchi,12/02/16,127,9,20,6.35,197,2
62,84,1,13.5,6.07,83,2,1,v Sri Lanka,Visakhapatnam,14/02/16,82,10,18,4.55,NA,1
63,166,6,20,8.3,NA,1,1,v Bangladesh,Dhaka,24/02/16,121,7,20,6.05,167,2
64,85,5,15.3,5.48,84,2,1,v Pakistan,Dhaka,27/02/16,83,10,17.3,4.74,NA,1
65,142,5,19.2,7.34,139,2,1,v Sri Lanka,Dhaka,01/03/16,138,9,20,6.9,NA,1
66,82,1,10.1,8.06,82,2,1,v U.A.E.,Dhaka,03/03/16,81,9,20,4.05,NA,1
67,122,2,13.5,8.81,121,2,1,v Bangladesh,Dhaka,06/03/16,120,5,15,8,NA,1
68,79,10,18.1,4.34,127,2,0,v New Zealand,Nagpur,15/03/16,126,7,20,6.3,NA,1
69,119,4,15.5,7.51,119,2,1,v Pakistan,Kolkata,19/03/16,118,5,18,6.55,NA,1
70,146,7,20,7.3,NA,1,1,v Bangladesh,Bangalore,23/03/16,145,9,20,7.25,147,2
71,161,4,19.1,8.4,161,2,1,v Australia,Mohali,27/03/16,160,6,20,8,NA,1
72,192,2,20,9.6,NA,1,0,v West Indies,Mumbai,31/03/16,196,3,19.4,9.96,193,2
73,168,6,20,8.4,171,2,0,v Zimbabwe,Harare,18/06/16,170,6,20,8.5,NA,1
74,103,0,13.1,7.82,100,2,1,v Zimbabwe,Harare,20/06/16,99,9,20,4.95,NA,1
75,138,6,20,6.9,NA,1,1,v Zimbabwe,Harare,22/06/16,135,6,20,6.75,139,2
